,epochs,train_acc,val_acc,train_loss,val_loss
0,1,97.77777862548828,96.66666412353516,0.0024241148494184017,0.10653252713382244
1,2,96.66666412353516,95.41666412353516,2.5771048069000244,0.14452244946733117
2,3,99.16666412353516,99.16666412353516,0.004186064470559359,0.027393980068154633
3,4,99.27777862548828,98.75,0.20500075817108154,0.03236605674828752
4,5,99.3888931274414,99.16666412353516,0.4614166021347046,0.02768086069772835
5,6,99.22222137451172,98.75,0.000616047705989331,0.030838907696306705
6,7,99.44444274902344,99.16666412353516,0.007271359674632549,0.027156554482644424
